ITNBR,ITDSC,ITCLS,HOUSE,ONHAND,UnitPrice($USD),AMT($USD),PRODUCT_CATEGORY,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SCOOPWIDTH,SKIDSIZE,ITMCQTY,PALLET_QTY
#TRUDIE,FILL KIT CUSHION,ZACK,,,0.0,,UnKits,PURPO,,0,0,0,0,0,0,1,
A300X207UN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,51.0,4.0,40.27572881783547,161.10291527134189,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000002UN,SWVL GLIDER ACCT CHR/COVER/ASH,ZACK,,,46.65743647662261,,UnKits,UPH,UPHCH,2,4,2,16,1,3,8,
A3000006MRUN,SWVL GLDR ACCT CHR/COVER/QRTZ,ZACK,,,29.69789620819333,,UnKits,PURPO,,0,0,0,0,0,0,8,
A3000006UN,SWVL GLDR ACCT CHR/COVER/QRTZ,ZACK,51.0,24.0,29.546669147234564,709.1200595336295,UnKits,UPH,UPHCH,2,4,2,16,1,3,8,1.0
A3000012UN,ACCENT CHAIR/COVER/GRAY/CREAM,ZACK,,,31.26,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000205UN,SWIVEL GLDR ACCT CHR/COVER/ASH,ZACK,,,46.79,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000206UN,SWVL GLDR ACCT CHR/COVER/FROST,ZACK,,,61.932384559216416,,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,
A3000207UN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,,,44.9,,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,
A3000208UN,SWIVEL GLDR ACCT CHR/COVER/PEB,ZACK,,,46.20721984119156,,UnKits,UPH,UPHCH,1,3,3,9,1,16,4,
A3000265UN,SWVL GLDR ACCENT CHR/COVER/FOG,ZACK,51.0,8.0,24.460193017530873,195.68154414024698,UnKits,UPH,UPHCH,2,6,2,24,1,3,4,1.0
A3000330UN,ACCENT CHAIR/COVER/CHARCOAL,ZACK,,,21.36,,UnKits,PURPO,,0,0,0,0,0,0,4,
A3000365UN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,,,30.81,,UnKits,PURPO,,0,0,0,0,0,0,6,
A3000365XUN,SWVL GLDR ACCT CHR/COVER/IVORY,ZACK,,,29.75,,UnKits,UPH,UPHCH,1,3,3,9,1,16,6,
A3000366UN,SWVL GLDR ACCT CHR/COVER/CHARC,ZACK,,,30.81,,UnKits,PURPO,,0,0,0,0,0,0,6,
