tran_type,description,start_tran_date,start_tran_time,end_tran_date,end_tran_time,employee_id,control_number,line_number,control_number_2,outside_id,wh_id,location_id,hu_id,num_items,item_number,lot_number,uom,tran_qty,wh_id_2,location_id_2,verify_status,employee_id_2,routing_code,hu_id_2,return_disposition,elapsed_time,log_id,group_id,afi_package_rate,Wh_id_3,equipment_zone,Volume
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 1:36,4/26/2026,1/1/1900 1:37,50526,HDMU6733440,4,P2V2L65,,335,D021,39386527,0,T468-00,6.39881E+11,,1,,FOOT50526,,50526,,5687813,0,21,150677163,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 0:02,4/26/2026,1/1/1900 0:02,50957,WHLU535184,2,P2V2R27,,335,D019,39380025,0,B794-182,6.6147E+11,,1,,FOOT50957,,50957,,5688673,0,0,150670904,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 2:41,4/26/2026,1/1/1900 2:41,50526,SITU9073411,1,P2V3X02,,335,D027,39386497,0,B697-31,6.18269E+11,,1,,FOOT50526,,50526,,5692361,0,0,150683226,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 3:19,4/26/2026,1/1/1900 3:19,50957,FFAU1123872,3,P2V3D72,,335,D031A,39401102,0,D612-00,6.31051E+11,,1,,FOOT50957,,50957,,5690847,0,0,150687127,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 5:10,4/26/2026,1/1/1900 5:10,50957,MCCU3045621,4,P2V1T87,,335,D014,39400990,0,B947-56,5.26404E+11,,1,,FOOT50957,,50957,,5684633,0,0,150695660,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 3:01,4/26/2026,1/1/1900 3:01,50857,MEDU9501270,11,P2V3G79,,335,D045,,0,7970235,5.03953E+11,,1,,FOOT50857,,50857,,5690948,0,1,150685201,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 4:30,4/26/2026,1/1/1900 4:31,50526,TCKU7984372,7,P2V3W69,,335,D033,39386492,0,B922-56W1,6.18269E+11,,1,,FOOT50526,,50526,,5692356,0,65,150691686,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 2:07,4/26/2026,1/1/1900 2:07,50857,MEDU9522544,4,P2V3628,,335,D037,,0,4340365,5.03953E+11,,1,,FOOT50857,,50857,,5690241,0,0,150680162,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 5:08,4/26/2026,1/1/1900 5:08,50957,MCCU3045621,7,P2V1T87,,335,D014,39400988,0,D947-01A,5.26404E+11,,1,,FOOT50957,,50957,,5684633,0,0,150695548,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 0:00,4/26/2026,1/1/1900 0:00,50870,IMTU9073853,6,P2V0S97,,335,D017,39400817,0,B685-52,6.87071E+11,,1,,FOOT50870,,50870,,5690454,0,0,150670375,0,,335,A3ALL,1
151,Vendor Receipt (rcpt),4/26/2026,1/1/1900 5:35,4/26/2026,1/1/1900 5:35,50957,NSSU7030794,5,P2V4J87,,335,D023,39400999,0,T679-9,6.83812E+11,,1,,FOOT50957,,50957,,5694166,0,12,150698742,0,,335,A3ALL,1
