WARE HOUSE,ITEM,KIT/BOX,Weight of full box (Kg),Weight of each kit (Kg),Dimension box,L_INCH,W_INCH,H_INCH,STYLE
MILLENNIUM,1270011UN,6.0,13.218,1.688,TELE-UN-37X37X12INCH#3,37.0,37.0,12.0,FABRIC
MILLENNIUM,1270016UN,4.0,17.46,3.585,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,1270017UN,4.0,17.22,3.525,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,1270034UN,4.0,17.108,3.497,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,1270066UN,4.0,29.496,6.386,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1270067UN,4.0,29.98,6.46,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290011UN,6.0,13.236,1.691,TELE-UN-37X37X12INCH#3,37.0,37.0,12.0,FABRIC
MILLENNIUM,1290016UN,4.0,20.892,4.298,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290017UN,4.0,20.9,4.3,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290034UN,4.0,15.152,3.138,TELE-UN-30X28.5X12INCH#3,30.0,28.5,12.0,FABRIC
MILLENNIUM,1290046UN,4.0,8.48,1.55,TELE-UN-30X28.5X10INCH#3,30.0,28.5,10.0,FABRIC
MILLENNIUM,1290055UN,4.0,22.424,4.681,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290056UN,4.0,22.732,4.758,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290075UN,4.0,20.808,4.277,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290076UN,4.0,20.672,4.243,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290077UN,6.0,21.942,2.954,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1290099UN,4.0,20.772,4.408,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,166H135UN,4.0,23.22,5.02,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,166H138UN,6.0,43.356,6.536,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,166H139UN,6.0,34.44,5.05,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,1660125UN,6.0,18.246,2.338,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1660135UN,4.0,21.252,4.528,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,1660138UN,3.0,20.082,5.654,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,1660139UN,3.0,18.426,5.102,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,1660146UN,4.0,7.456,1.374,TELE-UN-30X28.5X6INCH#3,30.0,28.5,6.0,FABRIC
MILLENNIUM,1660155UN,4.0,16.908,3.447,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,1660156UN,4.0,16.76,3.41,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,1660166UN,4.0,27.408,6.067,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,1660167UN,4.0,27.248,6.027,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,1720108UN,12.0,18.228,1.174,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,1720116UN,4.0,19.24,4.231,TELE-UN-37X28.5X14INCH-H#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,1720125UN,6.0,17.268,2.098,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,1720167UN,4.0,18.828,3.922,TELE-UN-37X28.5X14INCH-H#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,201X108UN,6.0,17.214,2.354,TELE-UN-37X37X12INCH#3,37.0,37.0,12.0,FABRIC
MILLENNIUM,2010108UN,6.0,16.716,2.271,TELE-UN-37X37X12INCH#3,37.0,37.0,12.0,FABRIC
MILLENNIUM,2010116UN,4.0,32.36,7.305,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2010117UN,4.0,32.752,7.403,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2010125UN,6.0,27.102,3.857,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,2010135UN,4.0,28.312,6.298,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,2010138UN,3.0,26.997,7.959,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,2010139UN,3.0,25.269,7.383,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,2010166UN,4.0,31.204,7.016,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2010167UN,4.0,31.996,7.214,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2780125UN,4.0,11.256,2.034,TELE-UN-37X28.5X12INCH-H#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,2780148UN,4.0,18.1,3.74,TELE-UN-37X28.5X14INCH-H#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2780149UN,4.0,20.612,4.368,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,2860008UN,6.0,9.996,1.318,TELE-UN-42X28.5X6INCH#3,42.0,28.5,6.0,FABRIC
MILLENNIUM,2860016UN,4.0,20.456,4.329,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2860017UN,4.0,20.696,4.389,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,2860034UN,4.0,19.104,3.996,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,2860066UN,4.0,32.772,7.158,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,2860067UN,4.0,33.132,7.248,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,3380225UN,6.0,19.824,2.524,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,3380287UN,3.0,19.425,5.428,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,3380288UN,4.0,25.9,5.428,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,3380294UN,4.0,24.592,5.16,RSC-UN-37X28.5X16INCH#8,37.0,28.5,16.0,FABRIC
MILLENNIUM,3380296UN,4.0,24.592,5.16,RSC-UN-37X28.5X18INCH#8,37.0,28.5,18.0,FABRIC
MILLENNIUM,3380298UN,4.0,13.216,2.524,TELE-UN-37X28.5X12INCH#3,37.0,28.5,12.0,FABRIC
MILLENNIUM,349X708UN,12.0,24.564,1.702,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,3490708UN,12.0,20.748,1.384,RSC-UN-37X28.5X19.5INCH#8,37.0,28.5,19.5,FABRIC
MILLENNIUM,3490716UN,4.0,22.94,4.95,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
MILLENNIUM,3490717UN,4.0,23.492,5.088,TELE-UN-37X28.5X14INCH#3,37.0,28.5,14.0,FABRIC
