Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Status
D794-02,6958,484630,0.014357344778490808,0.014357344778490808,Active
D922-01,6342,484630,0.013086272001320596,0.027443616779811403,Active
D769-01,6320,484630,0.013040876544993087,0.04048449332480449,Active
D984-01,5108,484630,0.010539999587314034,0.051024492912118524,Active
D974-01,4268,484630,0.008806718527536471,0.059831211439654995,Active
D984-124,3994,484630,0.008241338753275694,0.0680725501929307,Active
D856-01,3990,484630,0.00823308503394342,0.07630563522687411,Active
D647-01,3502,484630,0.0072261312754059795,0.08353176650228009,Active
D642-124,3494,484630,0.007209623836741431,0.09074139033902151,Active
D794-03,3468,484630,0.00715597466108165,0.09789736500010315,Active
D594-01,3446,484630,0.007110579204754142,0.10500794420485729,Active
D752-01,3402,484630,0.007019788292099127,0.11202773249695641,Active
D433-01,3016,484630,0.006223304376534676,0.11825103687349109,Active
D642-01,2796,484630,0.0057693498132596,0.1240203866867507,Active
D947-01,2684,484630,0.005538245671955925,0.12955863235870663,Active
D974-124,2592,484630,0.005348410127313621,0.13490704248602026,Active
D743-01,2528,484630,0.005216350617997235,0.1401233931040175,Active
D743-02,2502,484630,0.005162701442337454,0.14528609454635497,Active
D615-05,2430,484630,0.005014134494356519,0.1503002290407115,Active
D631-01,2370,484630,0.004890328704372408,0.15519055774508392,Active
D631-124,2304,484630,0.004754142335389885,0.1599447000804738,Active
D634-01,2268,484630,0.004679858861399418,0.1646245589418732,Active
D546-424,2257,484630,0.004657161133235665,0.16928172007510886,Active
B742-92,2002,484630,0.00413098652580319,0.17341270660091204,Active
D814-01,1868,484630,0.0038544869281720074,0.17726719352908404,Active
D120-530,1867,484630,0.003852423498338939,0.181119617027423,Active
D372-624,1852,484630,0.0038214720508429113,0.1849410890782659,Active
D923-01,1762,484630,0.0036357633658667438,0.18857685244413264,New
D612-01,1746,484630,0.003602748488537647,0.19217960093267028,Active
D618-01,1740,484630,0.003590367909539236,0.1957699688422095,Active
T399-6,1706,484630,0.0035202112952149064,0.19929018013742442,Active
D546-524,1671,484630,0.0034479912510575078,0.20273817138848194,Active
D372-124,1670,484630,0.0034459278212244393,0.20618409920970637,Active
B697-92,1645,484630,0.003394342075397726,0.2095784412851041,Active
B779-92,1566,484630,0.0032313311185853126,0.21280977240368942,Active
B743-93,1559,484630,0.0032168871097538326,0.21602665951344324,Active
D735-01,1532,484630,0.0031611745042609825,0.21918783401770423,Active
D615-01,1502,484630,0.0030992716092689268,0.22228710562697315,Active
B752-91,1479,484630,0.0030518127231083506,0.2253389183500815,Active
B633-92,1442,484630,0.0029754658192848154,0.2283143841693663,Active
D824-09,1424,484630,0.002938324082289582,0.2312527082516559,Active
D399-124,1370,484630,0.0028268988713038815,0.23407960712295978,Active
D396-01,1352,484630,0.002789757134308648,0.23686936425726843,Active
D396-325,1330,484630,0.0027443616779811403,0.23961372593524957,Active
D546-01,1284,484630,0.002649443905659988,0.24226316984090956,Active
D984-01A,1270,484630,0.0026205558879970284,0.2448837257289066,Active
D596-00,1174,484630,0.0024224666240224503,0.24730619235292906,Active
B794-92,1174,484630,0.0024224666240224503,0.2497286589769515,Active
T399-0,1172,484630,0.002418339764356313,0.2521469987413078,Active
D398-01,1158,484630,0.0023894517466933538,0.25453645048800116,Active
D735-02,1158,484630,0.0023894517466933538,0.2569259022346945,Active
D773-124,1148,484630,0.0023688174483626682,0.2592947196830572,Active
B974-92,1133,484630,0.0023378660008666406,0.26163258568392384,Active
T251-13,1126,484630,0.002323421992035161,0.263956007675959,Active
B916-93,1125,484630,0.0023213585622020925,0.2662773662381611,Active
B100-13,1104,484630,0.0022780265357076534,0.26855539277386875,Active
D797-02,1096,484630,0.002261519097043105,0.27081691187091184,Active
B922-93,1092,484630,0.002253265377710831,0.27307017724862265,Active
B785-92,1090,484630,0.002249138518044694,0.27531931576666735,Active
B742-31,1083,484630,0.0022346945092132143,0.27755401027588056,Active
D824-924,1082,484630,0.002232631079380146,0.2797866413552607,Active
D794-45B,1079,484630,0.0022264407898809403,0.28201308214514165,Active
D794-45T,1079,484630,0.0022264407898809403,0.2842395229350226,Active
D394-425,1075,484630,0.002218187070548666,0.28645771000557124,Active
D647-124,1074,484630,0.0022161236407155973,0.28867383364628685,Active
B756-91,1074,484630,0.0022161236407155973,0.29088995728700245,Active
D857-01,1074,484630,0.0022161236407155973,0.29310608092771806,Active
B794-197,1071,484630,0.0022099333512163918,0.29531601427893445,Active
B689-92,1061,484630,0.0021892990528857067,0.2975053133318202,Active
T726-6,1040,484630,0.0021459670263912676,0.2996512803582114,Active
B584-96,1031,484630,0.002127396157893651,0.30177867651610507,Active
D797-03,1030,484630,0.0021253327280605825,0.30390400924416566,Active
B743-31,1003,484630,0.002069620122567732,0.3059736293667334,Active
D615-02,990,484630,0.0020427955347378413,0.30801642490147124,Active
B433-92,985,484630,0.0020324783855724987,0.31004890328704376,Active
D394-124,950,484630,0.0019602583414151,0.3120091616284589,Active
D631-00,948,484630,0.001956131481748963,0.3139652931102078,Active
D647-02,944,484630,0.001947877762416689,0.3159131708726245,Active
D596-01,940,484630,0.001939624043084415,0.3178527949157089,Active
T471-2,937,484630,0.0019334337535852092,0.3197862286692941,Active
T689-6,918,484630,0.0018942285867569074,0.32168045725605104,Active
B733-92,899,484630,0.0018550234199286053,0.32353548067597965,Active
B771-92,899,484630,0.0018550234199286053,0.32539050409590825,Active
T237-13,898,484630,0.0018529599900955367,0.3272434640860038,Active
B947-93,897,484630,0.0018508965602624682,0.3290943606462663,Active
B697-31,889,484630,0.00183438912159792,0.33092874976786424,Active
B633-31,853,484630,0.0017601056476074532,0.3326888554154717,Active
D546-13,850,484630,0.0017539153581082475,0.33444277077358,Active
B602-97S,840,484630,0.0017332810597775622,0.3361760518333575,Active
D396-124,834,484630,0.0017209004807791511,0.3378969523141367,Active
D954-01,826,484630,0.0017043930421146028,0.3396013453562513,Active
P801-820,825,484630,0.0017023296122815343,0.34130367496853287,Active
D388-124,820,484630,0.0016920124631161918,0.34299568743164904,Active
D947-01A,818,484630,0.0016878856034500548,0.3446835730350991,Active
T779-3,815,484630,0.001681695313950849,0.34636526834904996,Active
D974-00,814,484630,0.0016796318841177805,0.34804490023316775,Active
B433-97,809,484630,0.001669314734952438,0.3497142149681202,Active
P801-838,807,484630,0.001665187875286301,0.3513794028434065,Active
D575-01,804,484630,0.0016589975857870952,0.3530384004291936,Active
T468-7,803,484630,0.0016569341559540267,0.3546953345851476,Active
B947-97,792,484630,0.0016342364277902729,0.3563295710129379,Active
B785-97,791,484630,0.0016321729979572044,0.3579617440108951,Active
T471-1,778,484630,0.0016053484101273136,0.3595670924210224,Active
B779-31,776,484630,0.0016012215504611765,0.3611683139714836,Active
D440-52,764,484630,0.0015764603924643542,0.3627447743639479,Active
B916-97,759,484630,0.0015661432432990117,0.36431091760724693,Active
D769-15,758,484630,0.0015640798134659432,0.3658749974207129,Active
B794-182,756,484630,0.001559952953799806,0.3674349503745127,Active
D834-01,752,484630,0.001551699234467532,0.3689866496089802,Active
T411-13,748,484630,0.0015434455151352579,0.37053009512411544,Active
D736-01,740,484630,0.0015269380764707096,0.37205703320058614,Active
B584-82,736,484630,0.0015186843571384355,0.37357571755772456,Active
B633-74,736,484630,0.0015186843571384355,0.375094401914863,Active
D974-35,734,484630,0.0015145574974722985,0.3766089594123353,Active
D984-32,730,484630,0.0015063037781400243,0.37811526319047534,Active
D594-00,727,484630,0.0015001134886408187,0.37961537667911616,Active
D752-25,726,484630,0.0014980500588077502,0.3811134267379239,Active
B602-93,725,484630,0.0014959866289746817,0.3826094133668986,Active
D581-124,714,484630,0.001473288900810928,0.3840827022677095,Active
2610760,713,484630,0.0014712254709778594,0.38555392773868735,Active
B633-77,712,484630,0.001469162041144791,0.38702308977983213,Active
D546-624,711,484630,0.0014670986113117224,0.38849018839114385,Active
D974-224,710,484630,0.0014650351814786539,0.3899552235726225,Active
D743-35,705,484630,0.0014547180323133111,0.3914099416049358,Active
B794-31,705,484630,0.0014547180323133111,0.3928646596372491,Active
D984-45,698,484630,0.0014402740234818316,0.39430493366073094,Active
D615-35,694,484630,0.0014320203041495573,0.3957369539648805,Active
T667-6,693,484630,0.0014299568743164888,0.397166910839197,Active
T808-6,691,484630,0.0014258300146503518,0.3985927408538473,Active
D922-45B,684,484630,0.0014113860058188722,0.4000041268596662,Active
B742-46,680,484630,0.001403132286486598,0.4014072591461528,Active
D581-01,680,484630,0.001403132286486598,0.40281039143263936,Active
D372-01,680,484630,0.001403132286486598,0.40421352371912594,Active
D922-45T,677,484630,0.0013969419969873925,0.4056104657161133,Active
D647-25,675,484630,0.0013928151373212554,0.40700328085343457,Active
T689-0,672,484630,0.00138662484782205,0.4083899057012566,Active
D609-07,672,484630,0.00138662484782205,0.40977653054907864,Active
A4000096,666,484630,0.0013742442688236386,0.4111507748179023,Active
T994-7,663,484630,0.0013680539793244331,0.41251882879722673,Active
D642-09,658,484630,0.0013577368301590904,0.41387656562738584,Active
B752-82,654,484630,0.0013494831108268163,0.41522604873821267,Active
B752-81,651,484630,0.0013432928213276108,0.4165693415595403,Active
D394-423,650,484630,0.0013412293914945423,0.41791057095103484,Active
T779-1,644,484630,0.001328848812496131,0.41923941976353096,Active
A3000271,644,484630,0.001328848812496131,0.4205682685760271,Active
B916-31,643,484630,0.0013267853826630625,0.42189505395869015,Active
D388-425,642,484630,0.001324721952829994,0.42321977591152016,Active
D399-01,638,484630,0.00131646823349772,0.4245362441450179,Active
A3000700,638,484630,0.00131646823349772,0.42585271237851563,Active
B633-78,638,484630,0.00131646823349772,0.42716918061201337,Active
D642-32,636,484630,0.001312341373831583,0.42848152198584494,Active
B752-96,631,484630,0.0013020242246662402,0.4297835462105112,Active
D615-04,624,484630,0.0012875802158347606,0.43107112642634593,Active
B756-58,624,484630,0.0012875802158347606,0.4323587066421807,Active
D607-07,614,484630,0.0012669459175040753,0.43362565255968477,Active
D856-35,613,484630,0.0012648824876710068,0.43489053504735575,Active
B742-58,611,484630,0.0012607556280048698,0.4361512906753606,Active
B433-31,611,484630,0.0012607556280048698,0.4374120463033655,Active
D615-03,610,484630,0.001258692198171801,0.4386707385015373,Active
H162-14,607,484630,0.0012525019086725955,0.4399232404102099,Unavailable
T481-2,605,484630,0.0012483750490064585,0.44117161545921635,Active
B742-183,603,484630,0.0012442481893403215,0.4424158636485567,Active
T821-2,601,484630,0.0012401213296741845,0.44365598497823083,Active
A4000607,597,484630,0.0012318676103419102,0.4448878525885727,Active
B916-56,595,484630,0.0012277407506757732,0.4461155933392485,Active
B916-58,593,484630,0.0012236138910096362,0.4473392072302581,Active
B680-92,591,484630,0.0012194870313434992,0.4485586942616016,Active
B743-58,588,484630,0.0012132967418442937,0.4497719910034459,Active
B756-56,587,484630,0.0012112333120112252,0.4509832243154571,Active
D592-01,586,484630,0.0012091698821781564,0.4521923941976353,New
T637-20,586,484630,0.0012091698821781564,0.45340156407981347,Active
B689-58,586,484630,0.0012091698821781564,0.45461073396199164,Active
B633-76,584,484630,0.0012050430225120194,0.45581577698450365,Active
B602-54S,582,484630,0.0012009161628458824,0.45701669314734955,Active
B697-176,581,484630,0.001198852733012814,0.45821554588036234,Active
B974-31,577,484630,0.0011905990136805399,0.45940614489404286,Active
B947-31,576,484630,0.0011885355838474713,0.4605946804778903,Active
B697-178,574,484630,0.0011844087241813341,0.46177908920207167,Active
B100-12,573,484630,0.0011823452943482656,0.4629614344964199,Active
B947-58,572,484630,0.001180281864515197,0.4641417163609351,Active
L180094,570,484630,0.00117615500484906,0.4653178713657842,Active
D546-724,568,484630,0.001172028145182923,0.4664898995109671,Active
D752-00,567,484630,0.0011699647153498546,0.46765986422631695,Active
D794-50T,567,484630,0.0011699647153498546,0.4688298289416668,Active
D794-50B,564,484630,0.001163774425850649,0.46999360336751744,Active
D843-01,562,484630,0.0011596475661845118,0.471153250933702,Active
B633-46,560,484630,0.0011555207065183748,0.47230877164022034,Active
W647-60,557,484630,0.0011493304170191693,0.4734581020572395,Active
T808-8,557,484630,0.0011493304170191693,0.47460743247425863,Active
B771-197,554,484630,0.0011431401275199637,0.4757505726017786,Active
B689-56,553,484630,0.0011410766976868952,0.4768916492994655,Active
B743-46,551,484630,0.0011369498380207582,0.47802859913748624,Active
D631-45,550,484630,0.0011348864081876895,0.47916348554567395,Active
D383-223,548,484630,0.0011307595485215525,0.4802942450941955,Active
W100-22,546,484630,0.0011266326888554154,0.4814208777830509,Active
B697-298,546,484630,0.0011266326888554154,0.48254751047190636,Active
D594-35,544,484630,0.0011225058291892784,0.48367001630109563,Active
B947-56,542,484630,0.0011183789695231414,0.4847883952706188,Active
T994-20,542,484630,0.0011183789695231414,0.48590677424014195,Active
D398-124,542,484630,0.0011183789695231414,0.4870251532096651,Active
D974-13,539,484630,0.0011121886800239359,0.48813734188968905,Active
B697-174,537,484630,0.0011080618203577986,0.4892454037100468,Active
B785-31,537,484630,0.0011080618203577986,0.4903534655304046,Active
D634-35,535,484630,0.0011039349606916616,0.49145740049109626,Active
B794-97,535,484630,0.0011039349606916616,0.49256133545178793,Active
B824-93,533,484630,0.0010998081010255246,0.49366114355281343,Active
D642-45,532,484630,0.001097744671192456,0.4947588882240059,Active
B697-299,531,484630,0.0010956812413593876,0.49585456946536527,Active
T502-6,530,484630,0.001093617811526319,0.4969481872768916,New
B752-31,529,484630,0.0010915543816932506,0.49803974165858483,Active
