Warehouse,Item,Old FWP location,new FWD location
335,H642-44,A3017PH1,A1001AA1
335,B724-57,A3017MH1,A1001AA1
335,B783-81,A3017HX1,A1001AA1
335,B783-82,A3017HV1,A1001AA1
335,B783-93,A3014ER1,A1001AA1
335,B786-58W1,A3017HQ1,A1001AA1
335,B786-97W1,A3015LL2,A1001AA1
335,B872-36,A3017LK1,A1001AA1
335,B872-57,A3017HD1,A1001AA1
335,B872-91,A3014DQ1,A1001AA1
335,T457-3,A3014KU1,A1001AA1
335,B5169-197,A3015JF1,A1001AA1
335,B650-01,A3017NX1,A1001AA1
335,B803-92W9,A3014ED1,A1001AA1
335,B803-97W1,A3015JV1,A1001AA1
335,B983-97W1,A3015JP1,A1001AA1
335,D5170-01,A3014CE1,A1001AA1
335,D741-02,A3014GT1,A1001AA1
335,D741-35,A3015HR1,A1001AA1
335,H814-54W9,A3017HG1,A1001AA1
335,H837-54W9,A3017HE1,A1001AA1
335,D397-124,A3014LB1,A1001AA1
335,A3000052,A3017FJ1,A1001AA1
335,T099-3,A3014MM1,A1001AA1
335,T271-13,A3014MD1,A1001AA1
335,T382-6,A3017RL1,A1001AA1
335,T382-8,A3014KN1,A1001AA1
335,T505-562,A3017PV1,A1001AA1
335,W549-28,A3017QD1,A1001AA1
335,D754-125,A3013KY1,A1001AA1
335,D754-50B,A3014EJ1,A1001AA1
335,B749-92,A3014FU1,A1001AA1
335,B749-96W1,A3015GR2,A1001AA1
335,B5169-58,A3017FP1,A1001AA1
335,B476-65,A3013FQ1,A1001AA1
335,B476-92,A3016JR1,A1001AA1
335,B476-98,A3017DP1,A1001AA1
335,B639-58W1,A3017PJ1,A1001AA1
