Location,Disabled,Reason,Date,Unnamed: 4
A3015CR1,Y,Pillars,45265.0,
A3015CR2,Y,Pillars,45265.0,
A3015CR3,Y,Pillars,45265.0,
A3015CR4,Y,Pillars,45265.0,
A3015EM1,Y,Pillars,45265.0,
A3015EM2,Y,Pillars,45265.0,
A3015EM3,Y,Pillars,45265.0,
A3015EM4,Y,Pillars,45265.0,
A3015EM5,Y,Pillars,45265.0,
A3015JE1,Y,Pillars,45265.0,
A3015JE2,Y,Pillars,45265.0,
A3015JE3,Y,Pillars,45265.0,
A3015JE4,Y,Pillars,45265.0,
A3015JE5,Y,Pillars,45265.0,
A3015JD1,Y,Pillars,45265.0,
A3015JD2,Y,Pillars,45265.0,
A3015JD3,Y,Pillars,45265.0,
A3015JD4,Y,Pillars,45265.0,
A3015JD5,Y,Pillars,45265.0,
A3015JZ1,Y,Pillars,45265.0,
A3015JZ2,Y,Pillars,45265.0,
A3015JZ3,Y,Pillars,45265.0,
A3015JZ4,Y,Pillars,45265.0,
A3015JZ5,Y,Pillars,45265.0,
A3015LA1,Y,Pillars,45265.0,
A3015LA2,Y,Pillars,45265.0,
A3015LA3,Y,Pillars,45265.0,
A3015LA4,Y,Pillars,45265.0,
A3015LA5,Y,Pillars,45265.0,
A3010LJ1,Y,Change to RP location,45265.0,
A3010LJ2,Y,Change to RP location,45265.0,
A3010LJ3,Y,Change to RP location,45265.0,
A3010LJ4,Y,Change to RP location,45265.0,
A3010LK1,Y,Change to RP location,45265.0,
A3010LK2,Y,Change to RP location,45265.0,
A3010LK3,Y,Change to RP location,45265.0,
A3010LK4,Y,Change to RP location,45265.0,
A3010LL1,Y,Change to RP location,45265.0,
A3010LL2,Y,Change to RP location,45265.0,
A3010LL3,Y,Change to RP location,45265.0,
A3010LL4,Y,Change to RP location,45265.0,
A3010LM1,Y,Change to RP location,45265.0,
A3010LM2,Y,Change to RP location,45265.0,
A3010LM3,Y,Change to RP location,45265.0,
A3010LM4,Y,Change to RP location,45265.0,
A3010LN1,Y,Change to RP location,45265.0,
A3010LN2,Y,Change to RP location,45265.0,
A3010LN3,Y,Change to RP location,45265.0,
A3010LN4,Y,Change to RP location,45265.0,
A3010LP1,Y,Change to RP location,45265.0,
A3010LP2,Y,Change to RP location,45265.0,
A3010LP3,Y,Change to RP location,45265.0,
A3015CA8,Y,not exist,45265.0,
A3015CB8,Y,not exist,45265.0,
A3015CC8,Y,not exist,45265.0,
A3015CD8,Y,not exist,45265.0,
A3015CE8,Y,not exist,45265.0,
A3015CF8,Y,not exist,45265.0,
A3015CG8,Y,not exist,45265.0,
A3015CH8,Y,not exist,45265.0,
A3015CJ8,Y,not exist,45265.0,
A3015CK8,Y,not exist,45265.0,
A3015CL8,Y,not exist,45265.0,
A3015CM8,Y,not exist,45265.0,
A3015CN8,Y,not exist,45265.0,
A3015CP8,Y,not exist,45265.0,
A3015CQ8,Y,not exist,45265.0,
A3015CR8,Y,Pillars,45265.0,
A3015CS8,Y,not exist,45265.0,
A3015CT8,Y,not exist,45265.0,
A3015GG1,Y,CrossAisle,45265.0,
A3015GG2,Y,CrossAisle,45265.0,
A3015GG3,Y,CrossAisle,45265.0,
A3015GG4,Y,CrossAisle,45265.0,
A3015GG5,Y,CrossAisle,45265.0,
A3015GG6,Y,CrossAisle,45265.0,
A3015GG7,Y,CrossAisle,45265.0,
A3015GG8,Y,CrossAisle,45265.0,
A3014MA1,Y,Pillars,45265.0,
A3014MA2,Y,Pillars,45265.0,
A3014MA3,Y,Pillars,45265.0,
A3014MA4,Y,Pillars,45265.0,
A3014MA5,Y,Pillars,45265.0,
A3014KZ1,Y,Pillars,45265.0,
A3014KZ2,Y,Pillars,45265.0,
A3014KZ3,Y,Pillars,45265.0,
A3014KZ4,Y,Pillars,45265.0,
A3014KZ5,Y,Pillars,45265.0,
A3014KE1,Y,Pillars,45265.0,
A3014KE2,Y,Pillars,45265.0,
A3014KE3,Y,Pillars,45265.0,
A3014KE4,Y,Pillars,45265.0,
A3014KE5,Y,Pillars,45265.0,
A3014KD1,Y,Pillars,45265.0,
A3014KD2,Y,Pillars,45265.0,
A3014KD3,Y,Pillars,45265.0,
A3014KD4,Y,Pillars,45265.0,
A3014KD5,Y,Pillars,45265.0,
A3014HJ1,Y,Pillars,45265.0,
A3014HJ5,Y,Pillars,45265.0,
A3014FM1,Y,Pillars,45265.0,
A3014FM2,Y,Pillars,45265.0,
A3014FM3,Y,Pillars,45265.0,
A3014FM4,Y,Pillars,45265.0,
A3014FM5,Y,Pillars,45265.0,
A3014DR1,Y,Pillars,45265.0,
A3014DR2,Y,Pillars,45265.0,
A3014DR3,Y,Pillars,45265.0,
A3014DR4,Y,Pillars,45265.0,
A3016DR1,Y,Pillars,45265.0,
A3016DR2,Y,Pillars,45265.0,
A3016DR3,Y,Pillars,45265.0,
A3016DR4,Y,Pillars,45265.0,
A3017CY1,Y,Pillars,45265.0,
A3017CY2,Y,Pillars,45265.0,
