Warehouse,Location,Loc_Type,Item,Replen Level,Replen Qty,Uom,Capacity Qty,Pick Put Id,Class Id,Fwd Qty,Current Utilized,Notfwd Qty,Potential Utilized,Pallet Type,Pick Trans Qty,TripQty,CO_Qty,Disabled,STO
335,A3015NM1,P,100-17,0,10,EA,10,PALLT,RAILS,2,0.2,107,10.9,3.5 X 7  PAL3D,16,8,29,Active,2
335,A3015NH1,P,100-18,0,10,EA,10,PALLT,RAILS,10,1.0,0,1.0,3.5 X 7  PAL3D,9,4,10,Active,10
335,A3016LC1,P,100-2,0,48,CN,48,PALLT,PAL5H,9,0.1875,0,0.1875,5 x 5 wood pallet,4,0,9,Active,9
335,A3012FN1,P,2610660,24,12,EA,36,PALLT,PAL5H,29,0.8056,12,1.1389,5 x 5 wood pallet,175,28,342,Active,29
335,A3013JE1,P,2610760,36,12,EA,48,PALLT,PAL5H,46,0.9583,60,2.2083,5 x 5 wood pallet,118,74,639,Active,46
335,A3013FB1,P,A1000420,24,12,EA,36,PALLT,PAL3H,22,0.6111,438,12.7778,3.5 X 5  PAL3H,43,22,55,Active,21
335,A3012GN1,P,A1000445,72,24,EA,96,PALLT,PAL5H,96,1.0,178,2.8542,5 x 5 wood pallet,101,77,39,Active,96
335,A3017QE1,P,A1000454,0,36,CS,36,PALLT,PAL3H,4,0.1111,64,1.8889,3.5 X 5  PAL3H,85,25,10,Active,4
335,A3013CD1,P,A1000473,72,24,CS,96,PALLT,PAL3H,61,0.6354,0,0.6354,3.5 X 5  PAL3H,96,21,8,Active,61
335,A3017CS1,P,A1000475,0,24,CS,24,PALLT,PAL3H,22,0.9167,48,2.9167,3.5 X 5  PAL3H,38,7,10,Active,22
335,A3016HL1,P,A1000480,0,90,CS,90,PALLT,PAL5H,68,0.7556,80,1.6444,5 x 5 wood pallet,91,56,33,Active,68
335,A3012MH1,P,A1000550,48,24,EA,72,PALLT,PAL5H,43,0.5972,0,0.5972,5 x 5 wood pallet,351,14,9,Active,43
335,A3016CY1,P,A1000863,0,90,CS,90,PALLT,PAL5H,73,0.8111,80,1.7,5 x 5 wood pallet,138,20,11,Active,73
335,A3017QW1,P,A1000866,0,60,CS,60,PALLT,PAL3H,1,0.0167,0,0.0167,3.5 X 5  PAL3H,116,1,15,Active,1
335,A3017EK1,P,A1000867,0,60,CS,60,PALLT,PAL3H,22,0.3667,239,4.35,3.5 X 5  PAL3H,208,123,1,Active,22
335,A3017GX1,P,A1000868,0,60,CS,60,PALLT,PAL3H,38,0.6333,60,1.6333,3.5 X 5  PAL3H,126,32,7,Active,38
335,A3017CW1,P,A1000925,0,54,CS,54,PALLT,PAL3H,31,0.5741,32,1.1667,3.5 X 5  PAL3H,93,40,23,Active,31
335,A3016GS1,P,A1000927,0,46,CS,46,PALLT,PAL5H,19,0.413,34,1.1522,5 x 5 wood pallet,67,49,18,Active,19
