ITNBR,HOUSE,MOHTQ,WHSLC,ITCLS,QTSYR,B2Z95S,ITDSC,TIHIUNLD,PICKPUT,ITMCLSID,UNITSWIDE,UNITLAYERS,UNITSDEEP,SCOOPQTY,SKIDSIZE,QTYCR,NBSEAT,CRTWIN,CRTLIN,CRTHIN,PRDWIN,PRDHIN,PRDLIN,ITMWEGHT,ITNBR2,OPEN_PO,SCOOP_Weight(KG),WEIGHT_RANGE,PALLETS,Unit_Weight(KG),UNIT_WEIGHT_RANGE,FWP,PRDWIN2,PRDHIN2,PRDLIN2,Unnamed: 36,Unnamed: 37
U8869929RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U8869929RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
U8869986RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U8869986RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
485H135RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,NO,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,485H135RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
U8869988RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,U8869988RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
1050120RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1050120RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
B749-36,335,0,FA00,ZBBR,3,4.85,BEDROOM MIRROR,NO,PALLT,PAL3H,1,10,1,10,4,0,0.0,49.25,42.5,4.0,1.38,39.0,46.0,47.0,B749-36,0,213.18824,E. 400-500,1.0,21.318824,C. 20-30,0x2a,0.03505199999999999,0.9905999999999999,1.1683999999999999,,
B749-46,335,0,FA00,ZBBR,5,36.61,SIX DRAWER CHEST,NO,PALLT,FLOOROP,1,1,3,3,3,0,0.0,22.25,47.0,60.5,19.0,56.63,44.0,184.0,B749-46,0,250.382784,F. 500-600,1.0,83.460928,I. 80-90,0x2a,0.4826,1.438402,1.1176,,
1120114RP,335,0,S01ST1,UIRP,0,0.0,REPLACEMENT PART KIT,,PALLT,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120114RP,0,0.0,A. 0-100,,0.0,A. 0-10,0x2a,0.0,0.0,0.0,,
B749-56W1,335,2,FA00,ZBBR,2,8.79,KING UPHOLSTERED FOOTBOARD,NO,PALLT,PAL5H,2,8,1,16,3,0,0.0,29.25,79.88,6.5,5.0,26.0,76.0,48.4,B749-56W1,0,351.2616448,H. 700-800,1.0,21.9538528,C. 20-30,0x2a,0.127,0.6604,1.9304,,
B749-57,335,0,FA00,ZBBR,0,10.33,QUEEN UPHOLSTERED HEADBOARD,NO,PALLT,PAL3H,1,10,1,10,5,0,0.0,44.0,67.63,6.0,4.5,64.25,65.75,60.0,B749-57,0,272.1552,G. 600-700,1.0,27.21552,C. 20-30,0x2a,0.1143,1.63195,1.67005,,
B749-58,335,3,FA00,ZBBR,0,12.68,KING/CAL KING UPH HEADBOARD,NO,PALLT,PAL3H,1,10,1,10,5,0,0.0,43.75,83.5,6.0,4.5,64.13,81.75,67.0,B749-58,0,303.90664,G. 600-700,1.0,30.390664,D. 30-40,0x2a,0.1143,1.6289019999999999,2.07645,,
