Sequence,Item Number,Actual Qty,Unavailable Qty,Status,Warehouse,Location Id,Type,Fifo Date,Expiration Date,Reserved For,Lot Number,Inspection Code,Serial Number,Type1,Put Away Location,Owner Id,Pod Status
0,1000608,1,0,A,335,A3025EQ3,X,46111,1,,,,,STORAGE,119A3019ED4,,
0,1000608,1,0,A,335,A3025ET4,X,46095,1,,,,,STORAGE,121A3021GP3,,
0,1000616,3,0,A,335,A3024KK2,I,45957,1,,,,,STORAGE,,,
0,1000617,6,0,A,335,A3021FU2,I,45924,1,,,,,STORAGE,,,
0,1000646,9,0,A,335,A3022EY3,I,46084,1,,,,,STORAGE,118A3018DH3,,
0,1000646,24,0,A,335,A3023DA3,I,45786,1,,,,,STORAGE,,,
0,1000664,8,0,A,335,A3018DM3,I,46025,1,,,,,STORAGE,,,
0,1000664,8,0,A,335,A3024GU4,I,46087,1,,,,,STORAGE,,,
0,1000664,5,0,A,335,RS018AA1,V,46116,1,,,,,STORAGE,,,
0,1000665,10,0,A,335,A3018EQ3,I,46025,1,,,,,STORAGE,,,
0,1000665,3,0,A,335,A3021EW3,I,46084,1,,,,,STORAGE,,,
0,1000677,11,0,A,335,A3022DQ4,I,45920,1,,,,,STORAGE,,,
0,1000699,12,0,A,335,A3018LP1,X,45801,1,,,,,STORAGE,,,
0,1000899,82,0,A,335,EX001AA2,Z,45715,1,,,,,STORAGE,118A3018FF3,,
0,100-17,10,0,A,335,A3015NL2,I,46065,1,,,,,STORAGE,,,
0,100-17,2,0,A,335,A3015NM1,P,46035,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015NM2,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015NP2,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015NQ2,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015NS2,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015NU2,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015NV2,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015QA2,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015QB3,I,46065,1,,,,,STORAGE,,,
0,100-17,10,0,A,335,A3015QD2,I,46065,1,,,,,STORAGE,,,
0,100-17,7,0,A,335,A3015QF2,I,46065,1,,,,,STORAGE,,,
0,100-18,10,0,A,335,A3015NH1,P,46112,1,,,,,STORAGE,,,
0,100-2,9,0,A,335,A3016LC1,P,46028,1,,,,,STORAGE,,,
0,100-23,1,0,A,335,NG001CK3,Z,46056,1,,,,,STORAGE,,,
0,100-62,4,0,A,335,A3016DD3,I,46112,1,,,,,STORAGE,,,
0,1020146,20,0,A,335,A3022CQ3,I,45953,1,,,,,STORAGE,,,
0,1020146,19,0,A,335,A3022CQ4,I,45953,1,,,,,STORAGE,,,
0,1020146,10,0,A,335,A3022CR3,I,45953,1,,,,,STORAGE,,,
0,1020246,14,0,A,335,A3024FE4,I,46005,1,,,,,STORAGE,,,
0,1020264,5,0,A,335,A3020CE3,I,45996,1,,,,,STORAGE,,,
0,1020265,11,0,A,335,A3020EP3,I,45996,1,,,,,STORAGE,,,
