Item,Open_CO_Qty,Total_Open_CO_Qty,Open_CO(%),Acc(%),Item_Class
B814-71,20,,,,
4530294,4,,,,
4530281,3,,,,
4530252,7,,,,
D743-35,164,,,,
D743-02,1000,,,,
D974-00,134,,,,
D814-60,68,,,,
D615-124,118,,,,
7620425,362,,,,
B5168-196,151,,,,
8721438,118,,,,
8721425,106,,,,
8110325,169,,,,
B5168-92,372,,,,
8721435,119,,,,
B5168-81,146,,,,
D372-01,810,,,,
D615-01,416,,,,
D615-03,206,,,,
3500212,25,,,,
8410218,70,,,,
D615-04,212,,,,
D372-15,186,,,,
D615-02,496,,,,
D615-224,130,,,,
D615-324,120,,,,
D615-424,100,,,,
D594-01,716,,,,
D594-35,85,,,,
D594-00,53,,,,
T637-7,76,,,,
5210725,19,,,,
T103-213,122,,,,
T5168-1,121,,,,
5210735,20,,,,
5210738,25,,,,
T5168-3,69,,,,
W5168-20,112,,,,
D5168-25,100,,,,
D5168-60,57,,,,
D5168-01,532,,,,
1470735,66,,,,
1560235,228,,,,
1470738,96,,,,
1560238,326,,,,
5960366,104,,,,
5200335,266,,,,
9280111,56,,,,
5230408,127,,,,
1530502,140,,,,
8721325,64,,,,
9280117,158,,,,
5230467,349,,,,
2850220,92,,,,
5930213,20,,,,
D760-01,1374,,,,
D760-45,223,,,,
D760-02,416,,,,
D760-60,140,,,,
B777-36,64,,,,
B777-93,168,,,,
B697-31,262,,,,
B777-97,33,,,,
B697-98,97,,,,
B777-58,12,,,,
B777-56S,29,,,,
B777-46,46,,,,
B777-96,5,,,,
B697-92,483,,,,
B697-77,94,,,,
B777-54S,16,,,,
B697-74,103,,,,
B777-57,4,,,,
B697-36,183,,,,
B697-46,118,,,,
B777-31,90,,,,
1960477,696,,,,
7720438,54,,,,
2410138,361,,,,
1202125,18,,,,
1202138,17,,,,
1540308,22,,,,
1540365,19,,,,
1540377,13,,,,
1540364,19,,,,
1540346,30,,,,
1020177,244,,,,
8070366,72,,,,
4030634,170,,,,
4030677,165,,,,
B743-99,23,,,,
D647-60,153,,,,
B743-36,140,,,,
B647-77,9,,,,
4060638,33,,,,
B647-36,75,,,,
D394-32,103,,,,
B743-74,4,,,,
3100517,4,,,,
D647-02,930,,,,
5200435,48,,,,
B647-56,71,,,,
B647-97,89,,,,
7650488,149,,,,
B647-131,85,,,,
B742-56,35,,,,
1150271,277,,,,
B742-54,45,,,,
7650425,142,,,,
B647-78,11,,,,
D647-01,1980,,,,
B743-77,4,,,,
D745-01,692,,,,
B742-58,49,,,,
B742-97,30,,,,
B743-98,4,,,,
B742-92,409,,,,
B742-36,176,,,,
B742-78,90,,,,
B743-78,21,,,,
B742-31,230,,,,
B743-31,191,,,,
2900448,95,,,,
5200438,42,,,,
D394-124,362,,,,
7650594,110,,,,
D745-45,106,,,,
5200338,415,,,,
B743-76,21,,,,
D394-425,506,,,,
B742-96,28,,,,
7650588,109,,,,
B742-77,61,,,,
7650525,112,,,,
3100535,24,,,,
3100538,26,,,,
B742-57,55,,,,
4060635,25,,,,
D647-25,293,,,,
2940216,6,,,,
B647-96,38,,,,
3100566,4,,,,
B743-93,260,,,,
2900417,96,,,,
B647-54,25,,,,
2900434,205,,,,
2940203,6,,,,
7650494,124,,,,
B647-191,145,,,,
5960346,45,,,,
3290238,245,,,,
3310435,54,,,,
D970-25,60,,,,
1000746,68,,,,
D970-01A,100,,,,
D440-024,328,,,,
8670588,37,,,,
D440-52,76,,,,
1000777,19,,,,
8670488,61,,,,
D615-15,178,,,,
D291-25,37,,,,
8670594,43,,,,
D615-35,115,,,,
