Date,Container_Trip,Quantity,Type
2026-01-09,51D61375,30.0,Inbound
2026-01-09,AMFU8580681,90.0,Inbound
2026-01-09,CAAU7413664,76.0,Inbound
2026-01-09,CAJU5214103,49.0,Inbound
2026-01-09,CICU2324242,66.0,Inbound
2026-01-09,CIMU0447103,274.0,Inbound
2026-01-09,CLHU8976813,94.0,Inbound
2026-01-09,DHPU0322001,141.0,Inbound
2026-01-09,EISU9306007,181.0,Inbound
2026-01-09,EISU9468100,79.0,Inbound
2026-01-09,EITU1044985,51.0,Inbound
2026-01-09,EITU1167193,166.0,Inbound
2026-01-09,EMCU9493610,90.0,Inbound
2026-01-09,EMCU9736828,54.0,Inbound
2026-01-09,FBLU0159720,58.0,Inbound
2026-01-09,FCLU8646698,218.0,Inbound
2026-01-09,FDCU0285562,282.0,Inbound
2026-01-09,FSCU7211982,400.0,Inbound
2026-01-09,GESU6164984,86.0,Inbound
2026-01-09,HDMU6733440,298.0,Inbound
2026-01-09,HLXU6591828,25.0,Inbound
2026-01-09,IMTU9073853,121.0,Inbound
2026-01-09,ITLU0028000,67.0,Inbound
2026-01-09,ITLU1800000,61.0,Inbound
2026-01-09,ITLU2000000,153.0,Inbound
2026-01-09,ITLU2200000,262.0,Inbound
2026-01-09,ITLU2300000,362.0,Inbound
2026-01-09,ITLU2400000,58.0,Inbound
2026-01-09,ITLU3300000,102.0,Inbound
2026-01-09,ITLU360000,133.0,Inbound
2026-01-09,ITLU3700000,97.0,Inbound
2026-01-09,ITLU8000000,168.0,Inbound
2026-01-09,KKFU7717706,508.0,Inbound
2026-01-09,KKFU9094523,90.0,Inbound
2026-01-09,LPHU686868,205.0,Inbound
2026-01-09,LPHU6868685,132.0,Inbound
2026-01-09,MCCU3045621,161.0,Inbound
2026-01-09,MCCU3076582,30.0,Inbound
2026-01-09,MCCU3076638,51.0,Inbound
2026-01-09,MCCU3076643,47.0,Inbound
2026-01-09,MCCU3077172,53.0,Inbound
2026-01-09,MEDU4957884,51.0,Inbound
2026-01-09,MEDU9505737,62.0,Inbound
2026-01-09,MEDU9505974,57.0,Inbound
2026-01-09,MEDU9506184,70.0,Inbound
2026-01-09,MEDU9506733,76.0,Inbound
2026-01-09,MEDU9509080,62.0,Inbound
2026-01-09,MEDU9513429,49.0,Inbound
2026-01-09,MEDU9517255,1.0,Inbound
2026-01-09,MEDU9517532,87.0,Inbound
2026-01-09,MEDU9518396,57.0,Inbound
2026-01-09,MEDU9520140,58.0,Inbound
2026-01-09,MEDU9520310,69.0,Inbound
2026-01-09,MEDU9523350,85.0,Inbound
2026-01-09,MEDU9528943,63.0,Inbound
2026-01-09,MEDU9531000,78.0,Inbound
2026-01-09,MEDU9545961,81.0,Inbound
2026-01-09,MEDU9546130,87.0,Inbound
2026-01-09,MEDU9546340,96.0,Inbound
2026-01-09,MEDU9546700,74.0,Inbound
2026-01-09,MEDU9547985,75.0,Inbound
2026-01-09,MEDU9552359,72.0,Inbound
2026-01-09,MSBU8202736,61.0,Inbound
2026-01-09,MSCU5222861,49.0,Inbound
2026-01-09,MSDU7008045,1.0,Inbound
2026-01-09,MSKU8306477,56.0,Inbound
