SYSTEM_TABLE_SCHEMA,TABLE_NAME,ORDINAL_POSITION,COLUMN_NAME,DATA_TYPE,LENGTH,NUMERIC_SCALE,IS_NULLABLE,COLUMN_DESC
AFILELIB  ,ACUSMASJ,1,ACREC,CHAR,1,,N,Customer status
AFILELIB  ,ACUSMASJ,2,COMNO,NUMERIC,2,0.0,N,Company number
AFILELIB  ,ACUSMASJ,3,CUSNO,NUMERIC,8,0.0,N,Customer number
AFILELIB  ,ACUSMASJ,4,CUSNM,CHAR,35,,N,Alpha sort name
AFILELIB  ,ACUSMASJ,5,CUSA1,CHAR,35,,N,Address line 1
AFILELIB  ,ACUSMASJ,6,CUSA2,CHAR,35,,N,Address line 2
AFILELIB  ,ACUSMASJ,7,CUSA3,CHAR,35,,N,City
AFILELIB  ,ACUSMASJ,8,ZIPCD,CHAR,10,,N,Postal code
AFILELIB  ,ACUSMASJ,9,STACD,CHAR,2,,N,State code
AFILELIB  ,ACUSMASJ,10,PHONE,CHAR,20,,N,Telephone number
AFILELIB  ,ACUSMASJ,11,TERRN,NUMERIC,2,0.0,N,Territory ID
AFILELIB  ,ACUSMASJ,12,CUSCL,CHAR,5,,N,Customer class code
AFILELIB  ,ACUSMASJ,13,BKORD,CHAR,1,,N,Backorders
AFILELIB  ,ACUSMASJ,14,BKPSC,CHAR,1,,N,Partial ship
AFILELIB  ,ACUSMASJ,15,ITDCD,CHAR,2,,N,Trade discount code
AFILELIB  ,ACUSMASJ,16,STERM,CHAR,2,,N,Terms code
AFILELIB  ,ACUSMASJ,17,CRLAM,DECIMAL,13,0.0,N,Credit limit
AFILELIB  ,ACUSMASJ,18,CRLCD,CHAR,1,,N,Credit limit code
AFILELIB  ,ACUSMASJ,19,SLSNO,DECIMAL,5,0.0,N,Salesrep number
AFILELIB  ,ACUSMASJ,20,FARAM,DECIMAL,15,2.0,N,Future AR
AFILELIB  ,ACUSMASJ,21,AMDUE,DECIMAL,15,2.0,N,Customer amount due
AFILELIB  ,ACUSMASJ,22,BFOIC,CHAR,1,,N,Balance forward/open item
AFILELIB  ,ACUSMASJ,23,ILCCD,CHAR,1,,N,Service charge
AFILELIB  ,ACUSMASJ,24,ILCLS,DECIMAL,13,2.0,N,Service charge last statement
AFILELIB  ,ACUSMASJ,25,DLTPM,DECIMAL,7,0.0,N,Date last payment
AFILELIB  ,ACUSMASJ,26,PRBAL,DECIMAL,15,2.0,N,Previous balance
AFILELIB  ,ACUSMASJ,27,CHGTD,DECIMAL,15,2.0,N,Charges to date
AFILELIB  ,ACUSMASJ,28,CRDTD,DECIMAL,15,2.0,N,Credits to date
AFILELIB  ,ACUSMASJ,29,ADJTD,DECIMAL,15,2.0,N,Adjustments to date
AFILELIB  ,ACUSMASJ,30,BPAMT,DECIMAL,15,2.0,N,Billing period amount
AFILELIB  ,ACUSMASJ,31,AGEP1,DECIMAL,15,2.0,N,First age period amount
