S? TK nh?p_Mã hàng	APP	Gemini	GAP
106570719360_M30803		350	-350
106570719360_M30903		200	-200
106570719360_M30804		170	-170
106570719360_M31003	1	150	-149
308454489400_D546-524	353	208	145
108211430720_A2000886	149	13	136
106570719360_M30904		120	-120
106570719360_M31004		120	-120
308421862030_D642-124	278	174	104
106570719360_M30801		100	-100
308460095700_D814-01	100	2	98
108088482940_T667-6	116	27	89
308480893730_D433-01	374	298	76
308509654410_D794-02	424	348	76
308476046600_D642-01	650	578	72
108211413660_A2000094	110	40	70
308462265110_D634-01	262	192	70
308522207620_B771-54S		70	-70
308511082150_D974-01	270	208	62
108088476750_A4000607	138	77	61
308474850520_D922-01	336	280	56
308411129150_B742-92	59	5	54
308447393940_D546-424	378	326	52
106570719360_M30802		50	-50
308498939840_1940322	48		48
308474513340_B779-92	83	36	47
308505601300_T377-13	84	38	46
308473017110_D546-01	288	244	44
308474032440_D631-01	164	120	44
308475222000_W647-60	68	24	44
107998171740_A1001096	43		43
108085159010_T236-13	127	84	43
107978386720_R408342	69	27	42
308480456230_D396-01	54	12	42
307218790010_H687-46		41	-41
108088479660_T667-6	40		40
307219096460_H687-27		40	-40
308468376700_D612-01	154	114	40
308522207620_B771-31		40	-40
307218790010_T760-2		38	-38
308383604450_T459-20	49	11	38
307314681350_6100458		37	-37
308476415350_B844-93	42	7	35
108211430720_L235624	53	20	33
307841994150_B602-157		33	-33
308408163250_D824-09	78	46	32
308448308400_D642-01	32		32
108088440830_L207494	31		31
108172025250_L235624	31		31
108172542440_L207484	57	26	31
106570719360_M30901		30	-30
308396311330_T300-317	30		30
308429044400_W440-68		30	-30
308429076710_W440-68	30		30
308474831620_D922-01	30		30
308478540920_P805-701	46	16	30
308498942900_1940321	30		30
108088482940_T667-8	29		29
108088482940_T726-8	63	34	29
307763994550_A4000599		29	-29
308378394720_T468-00	45	16	29
308425668960_U1160215A	45	16	29
308452933520_B733-92	50	21	29
308460918200_B794-92	39	10	29
107978387200_R408371	77	49	28
108088443740_R407911	126	98	28
308459651160_T459-7	28		28
308474812830_D923-01	74	46	28
308523467250_7790165		28	-28
308437612360_P373-615B	31	4	27
308497701540_T664-7	66	39	27
307184969510_B769-97		26	-26
308342617020_4340365		26	-26
308459657500_D856-01	32	6	26
308502342760_T655-3	183	157	26
308518545810_B602-56S	50	24	26
308429774720_B742-31	63	38	25
308522207620_B771-92		25	-25
308524905420_7790177		25	-25
307216113060_B689-58		24	-24
308421510300_D974-124	146	122	24
308455225061_D947-01	24		24
308482583160_T459-7	200	176	24
308495757310_B947-93	24		24
308523467250_7790117		24	-24
108210763360_A2000686	73	50	23
308444171840_D642-45	84	61	23
308447677220_6840617	23		23
308455192530_B947-97	23		23
308462451420_D634-35	37	14	23
308486364710_U1160213A	45	22	23
308437612360_P373-615T	22		22
308449339350_9210364	22		22
308451652410_D954-01	22		22
308477795750_3940246	32	10	22
308501288820_9022042A	23	1	22
308509496100_T779-3	208	186	22
308523410700_5670415		22	-22
308401109460_5390215		21	-21
308469998340_A3000700	50	29	21
308470453010_A3000701	97	76	21
308474772340_9210446	34	13	21
308497819030_D433-35	53	32	21
308498180820_T655-9	43	22	21
308523410700_5430488		21	-21
106570719360_M31002		20	-20
108088443740_A1000929	58	38	20
307890527840_4360438		20	-20
308448286110_D594-35	53	33	20
308451962360_D743-02	48	28	20
308463632060_P373-601A	20		20
308463645840_P373-615T	20		20
308476009610_T300-317	20		20
308476448730_B844-31	20		20
308479053760_5930147	20		20
308494175200_M14041W2		20	-20
308494175200_M14241W2		20	-20
308494207400_M14041W2	20		20
308494207400_M14241W2	20		20
308497263120_B602-36	20		20
308501854750_D642-00	176	156	20
308505495450_D794-45T	96	76	20
107899986020_A2000795	110	91	19
108088434640_L204454	19		19
108203347450_T808-6	106	87	19
308333769460_B849-93		19	-19
308459850110_T637-20	40	21	19
308478896150_3460489	19		19
308479641430_U1090015	19		19
108019895060_A4000441	103	85	18
108172452510_L207584	184	166	18
108190097630_T770-1	133	115	18
307314681350_6100462		18	-18
308065874820_4080409		18	-18
308399425150_W440-68		18	-18
308399437160_W440-68	18		18
308465988850_D433-01	18		18
308489546320_2590346	22	4	18
308490002130_D769-01	260	242	18
308497181550_B602-31	18		18
308505537560_D794-45B	78	60	18
308418448020_T468-3	17		17
308438681740_U1090013	25	8	17
308454997820_B947-58	21	4	17
308455085650_B814-92	17		17
308462265110_D634-00	27	10	17
308475943330_5390215	17		17
308478118600_1210312	38	21	17
308498939840_1940321	17		17
108088440830_L204474	16		16
108090927560_A4000605	88	72	16
308428102640_D596-124	16		16
308429728630_B742-57	31	15	16
308432483610_D824-05	24	8	16
308447646530_6840655	16		16
308448676120_B814-31	16		16
308455192530_B947-56	16		16
308455765940_D647-01	322	306	16
308456262830_T743-6	16		16
308478095610_D947-01	52	36	16
308487603710_2590377	16		16
308492185100_B844-97	22	6	16
308497701540_T664-3	38	22	16
308510920450_M60X32US		16	-16
308511004600_M60X32US	16		16
108088407230_T667-6	15		15
108151993720_A8010237	24	9	15
308434316430_B742-58	21	6	15
308447722020_6840671	15		15
308453541820_2200415	45	30	15
308459651160_T459-3	70	55	15
308485009030_P373-601A	20	5	15
308493104310_B779-57	28	13	15
308494688150_W901-68	33	18	15
308495619410_D396-325	59	44	15
108090932350_R407981	48	34	14
108172452510_A2000136	36	22	14
108190097630_T770-2	91	77	14
108191922860_T808-8	33	19	14
308291688410_D199-01	44	30	14
308380874820_D596-124	14		14
308448215040_U1070031	85	71	14
308464700520_U1070062	24	10	14
308474797650_B779-31	14		14
308477822610_9210365	14		14
308478118600_1210412	15	1	14
308481915030_5930147	14		14
308482698660_4070912	17	3	14
308487079850_2590377	14		14
308492509900_B794-31	29	15	14
308494175200_M14031W2		14	-14
308494207400_M14031W2	14		14
308495166250_B947-31	14		14
308509636650_D794-02	14		14
107702528360_L208464	13		13
108019896720_A1001096	37	24	13
108019897160_A2000813	14	1	13
308327608760_M60X32US		13	-13
308327615210_M60X32US	13		13
308419741360_U1160215A	13		13
308425758930_U1160218A	49	36	13
308447722020_6840677	13		13
308453565250_2200418	19	6	13
308455159150_B794-197	13		13
308460095700_T637-3	25	12	13
308460884340_B433-97	13		13
308474804910_B779-76	13		13
308475873700_D594-00	42	29	13
308494175200_M14131W2		13	-13
308494207400_M14131W2	13		13
308497701540_T664-9	52	39	13
308501891630_B779-98	35	22	13
308509460950_B844-57	35	22	13
308524905420_5560338		13	-13
106337742120_9300313		12	-12
107988054420_A1000863	52	40	12
108088460650_A4000660	31	19	12
108127419850_A8010153	105	93	12
108172542440_L207494	61	49	12
308333769460_B849-97		12	-12
308407677820_B742-54	34	22	12
308445859430_3940264	12		12
308446929400_T237-13	111	99	12
308455410010_B814-91	12		12
308464020930_B680-92	12		12
308473017110_D546-13	13	1	12
308474804910_B779-31	39	27	12
308476859300_5390215	22	10	12
308477822610_9212146	15	3	12
308480838760_T743-4	38	26	12
308484923520_5930147	19	7	12
308489544920_2590346	12		12
308493030810_D947-55T	21	9	12
308494175200_M14231W2		12	-12
308494207400_M14231W2	12		12
308497263120_B602-31	40	28	12
308497263120_B602-93	30	18	12
308499587600_B602-36	20	8	12
308499654210_B602-158	12		12
308504798140_T743-7	42	30	12
308505371920_H742-34	16	4	12
308509604230_H743-70	83	71	12
308515572800_M41041US		12	-12
308515593800_M41041US	12		12
308526728440_2590316		12	-12
308526728440_4310438		12	-12
107913288930_L207304	14	3	11
107932712420_A4000540	61	50	11
107943717600_A4000711	67	56	11
108090942300_A2000895	82	71	11
108172542440_A2000697	77	66	11
307898829400_D310-15		11	-11
308083229220_7970214		11	-11
308378320260_T468-00	11		11
308442812660_U1070077	25	14	11
308452885440_T901-3	14	3	11
308464700520_U1070058	21	10	11
308465270320_B814-97S	12	1	11
308471191840_B433-92	18	7	11
308477328520_U1033046	32	21	11
308477995360_U1090018	36	25	11
308478252960_2200413	13	2	11
308479036300_3460427	18	7	11
308479054240_2590317	11		11
308479282330_B680-92	31	20	11
308481794300_6840677	44	33	11
308481829300_9022042A	11		11
308483913420_9210461	45	34	11
308494175200_EB2270-182		11	-11
308494207400_EB2270-182	11		11
308496314250_B130-582	25	14	11
308499621900_B602-46	25	14	11
308501947850_B779-99	72	61	11
308509824400_T736-7	63	52	11
308515572800_M20241US		11	-11
308515593800_M20241US	11		11
106570719360_M30806		10	-10
106570719360_M31001		10	-10
106570719360_M31006		10	-10
108088434640_L208431	10		10
108129967850_W100-22	36	26	10
306638786920_D542-124		10	-10
307220493220_9210464		10	-10
308308951700_3090165		10	-10
308333769460_B849-31		10	-10
308361064120_B742-46	38	28	10
308383674820_T756-1	20	10	10
308391327000_B130-581	33	23	10
308403793520_B733-92	10		10
308407646060_B742-36	12	2	10
308414659510_B742-97	13	3	10
308414674210_B779-46	10		10
308421404340_D984-124	182	172	10
308429044400_EB3392-291	11	1	10
308430408110_U1070057	24	14	10
308434376960_B742-76	13	3	10
308434454550_B742-98	68	58	10
308448255640_D594-01	84	74	10
308451216900_B742-74	16	6	10
308468195400_5320425	10		10
308470863910_T216-13	44	34	10
308472063340_3940277	43	33	10
308474734100_3940265	16	6	10
308477795750_9212146	10		10
308478095610_D947-01A	10		10
308478910410_2590367	14	4	10
308479423950_A8010307	25	15	10
308479650860_D743-35	10		10
308480809840_T383-13	50	40	10
308483311860_T974-2	12	2	10
308483562500_U2710415	13	3	10
308484923520_3460443	10		10
308494175200_EB3660-291		10	-10
308494207400_EB3660-291	10		10
308495185850_B947-93	10		10
308495700240_9050313	29	19	10
308501288820_9930642A	54	44	10
308509708200_D824-02	250	240	10
308515018840_B602-157	30	20	10
308524905420_7790165		10	-10
308526728440_7790177		10	-10
106320100500_7540715		9	-9
108088384350_A8010335	66	57	9
108088404100_A4000442	363	354	9
108108794400_A8010329	41	32	9
108149661320_A4000692	41	32	9
108171236720_A2000094	9		9
108195788960_W100-101	360	351	9
108198406960_B742-58P	70	61	9
108198406960_B742-58R	61	52	9
108203349920_T821-2	116	107	9
307884493950_B771-48		9	-9
308373374100_W287-68		9	-9
308373386220_W287-68	9		9
308414530230_B742-96	30	21	9
308421816200_1700325	10	1	9
308425709820_U1160218A	9		9
308434454550_B742-99	40	31	9
308440536630_B743-31	15	6	9
308441376040_B756-31	22	13	9
308450423760_D974-35	106	97	9
308451669210_B787-93	9		9
308452923720_B947-36	9		9
308456946510_B433-31	9		9
308460242920_9930642A	9		9
308464083820_B602-54S	9		9
308465270320_T994-7	29	20	9
308470488340_A3000702	70	61	9
308473812420_B602-97S	9		9
308480838760_T743-0	38	29	9
308481794300_6840671	20	11	9
308485015920_P373-615T	20	11	9
308493006750_D947-55B	9		9
308496541050_T664-9	9		9
308497181550_B602-97S	9		9
308499587600_B602-97S	18	9	9
308509460950_B844-54S	30	21	9
106320100500_3700313		8	-8
108129967850_W100-12	69	61	8
